about	About. How about an apple. About.
again	Again. Please try again. Again.
against	Against. We played against our rival team. Against.
also	Also. I would also like an apple. Also.
always	Always. She is always on time. Always.
america	America. I live in America. America.
and	And. I like apples and bananas. And.
animal	Animal. A dog is a friendly animal. Animal.
another	Another. May I have another cookie? Another.
answer	Answer. Please answer the question. Answer.
any	Any. Do you have any crayons? Any.
are	Are. We are going to the park. Are.
as	As. He is as fast as a rabbit. As.
august	August. It is very hot in August. August.
away	Away. The bird flew away. Away.
be	Be. I want to be a pilot. Be.
beautiful	Beautiful. The sunset is beautiful. Beautiful.
because	Because. I am happy because it is my birthday. Because.
been	Been. Have you been to the zoo? Been.
being	Being. Thank you for being kind. Being.
between	Between. The ball is between the chairs. Between.
both	Both. I like both chocolate and vanilla. Both.
bought	Bought. Mom bought me a new toy. Bought.
breakfast	Breakfast. I ate eggs for breakfast. Breakfast.
brother	Brother. My brother likes to play catch. Brother.
brought	Brought. I brought my backpack to school. Brought.
build	Build. Letâ€™s build a sandcastle. Build.
by	By. Stand by the door. By.
called	Called. She called my name. Called.
carry	Carry. Can you carry this bag? Carry.
change	Change. Leaves change color in the fall. Change.
city	City. The city has many tall buildings. City.
come	Come. Please come here. Come.
could	Could. I wish I could fly. Could.
country	Country. We live in a big country. Country.
couple	Couple. I have a couple of stickers. Couple.
cousin	Cousin. My cousin is coming over to play. Cousin.
daughter	Daughter. The queen has a young daughter. Daughter.
day	Day. Today is a sunny day. Day.
december	December. We open gifts in December. December.
different	Different. These two socks are different. Different.
do	Do. What do you want to play? Do.
does	Does. Does the cat like milk? Does.
done	Done. I am done with my homework. Done.
down	Down. Please sit down. Down.
each	Each. Each student gets a pencil. Each.
early	Early. I woke up early today. Early.
earth	Earth. We live on planet Earth. Earth.
eight	Eight. An octopus has eight arms. Eight.
enough	Enough. I have had enough to eat. Enough.
every	Every. I brush my teeth every day. Every.
family	Family. I love my family very much. Family.
father	Father. My father helps me with math. Father.
favorite	Favorite. Blue is my favorite color. Favorite.
february	February. Valentine's Day is in February. February.
first	First. He came in first place. First.
for	For. This gift is for you. For.
friend	Friend. You are a good friend. Friend.
from	From. I got a letter from my grandma. From.
fruit	Fruit. An apple is a healthy fruit. Fruit.
full	Full. The glass is full of water. Full.
goes	Goes. The bus goes down the street. Goes.
good	Good. You did a good job. Good.
great	Great. We had a great time today. Great.
has	Has. The dog has a wagging tail. Has.
have	Have. I have two eyes. Have.
he	He. He is wearing a red shirt. He.
head	Head. Wear a hat on your head. Head.
her	Her. This is her favorite book. Her.
here	Here. Put your shoes right here. Here.
his	His. His bike is very fast. His.
house	House. We live in a white house. House.
how	How. How are you doing today? How.
i	I. I like to read stories. I.
into	Into. Jump into the pool. Into.
is	Is. The grass is green. Is.
january	January. It is cold in January. January.
juice	Juice. I like to drink orange juice. Juice.
july	July. We see fireworks in July. July.
knew	Knew. I knew the answer to the puzzle. knew.
know	Know. Do you know where the park is? know.
large	Large. An elephant is a large animal. Large.
laugh	Laugh. The funny clown made me laugh. Laugh.
learn	Learn. I want to learn how to swim. Learn.
little	Little. The little kitten is soft. Little.
look	Look. Look at the bright stars. Look.
lose	Lose. Don't lose your mittens. Lose.
many	Many. There are many stars in the sky. Many.
may	May. May I go outside? May.
me	Me. Please play with me. Me.
monday	Monday. School starts on Monday. Monday.
month	Month. My birthday is next month. Month.
mother	Mother. My mother gives the best hugs. Mother.
move	Move. Can you move the chair? Move.
my	My. My shoes are blue. My.
new	New. I have a new pair of shoes. New.
night	Night. The moon shines at night. Night.
none	None. None of the cookies are left. None.
nothing	Nothing. There is nothing in the box. Nothing.
now	Now. We need to go home now. Now.
number	Number. Seven is my lucky number. Number.
ocean	Ocean. The ocean has salty water. Ocean.
of	Of. This is a bag of toys. Of.
often	Often. I often play at the park. Often.
once	Once. I saw a whale once. Once.
one	One. I have one nose. One.
only	Only. I have only one sister. Only.
or	Or. Do you want milk or juice? Or.
other	Other. The other shoe is under the bed. Other.
our	Our. This is our classroom. Our.
out	Out. Let's go out to play. Out.
over	Over. The cow jumped over the moon. Over.
own	Own. I have my own bedroom. Own.
people	People. Many people live in the city. People.
picture	Picture. I drew a picture of a flower. Picture.
piece	Piece. May I have a piece of cake? Piece.
place	Place. This is a fun place to be. Place.
please	Please. Please pass the salt. Please.
pretty	Pretty. That is a pretty dress. Pretty.
pull	Pull. Pull the wagon to the house. Pull.
put	Put. Put your toys in the bin. Put.
ready	Ready. Are you ready for school? Ready.
right	Right. Turn right at the corner. Right.
said	Said. My teacher said hello. Said.
saturday	Saturday. We go to the park on Saturday. Saturday.
say	Say. What did you say? Say.
says	Says. The sign says to stop. Says.
school	School. I love going to school. School.
science	Science. We learned about bugs in science. Science.
see	See. I can see a bird. See.
shall	Shall. Shall we go for a walk? Shall.
she	She. She is my best friend. She.
should	Should. You should wear a coat. Should.
some	Some. I want some water, please. Some.
someone	Someone. Someone is knocking on the door. Someone.
something	Something. I have something in my pocket. Something.
son	Son. The king has a brave son. Son.
special	Special. Today is a special day. Special.
sure	Sure. Are you sure you are okay? Sure.
talk	Talk. We like to talk at lunch. Talk.
the	The. The sun is very bright. The.
their	Their. They are playing with their dog. Their.
there	There. Look over there! There.
they	They. They are my friends. They.
thought	Thought. I thought I saw a cat. Thought.
thursday	Thursday. We have gym on Thursday. Thursday.
to	To. We went to the store. To.
together	Together. Let's play a game together. Together.
tomorrow	Tomorrow. Tomorrow is another day. Tomorrow.
too	Too. I want to go, too. Too.
trouble	Trouble. Don't get into trouble. Trouble.
try	Try. I will try my best. Try.
tuesday	Tuesday. Library day is on Tuesday. Tuesday.
two	Two. A bird has two wings. Two.
use	Use. Use a fork to eat. Use.
used	Used. I used a pen to write. Used.
very	Very. The cake is very sweet. Very.
walk	Walk. Let's walk to the park. Walk.
want	Want. I want an apple. Want.
was	Was. It was a cold morning. Was.
water	Water. Fish live in the water. Water.
way	Way. Which way did he go? Way.
we	We. We are a happy team. We.
wednesday	Wednesday. It is Wednesday today. Wednesday.
were	Were. We were at the beach. Were.
what	What. What is your name? What.
when	When. When is it time to go? When.
where	Where. Where are my keys? Where.
who	Who. Who is that man? Who.
whose	Whose. Whose backpack is this? Whose.
why	Why. Why is the sky blue? Why.
won	Won. Our team won the game. Won.
word	Word. I can spell that word. Word.
work	Work. I have work to do. Work.
world	World. The world is very big. World.
would	Would. Would you like some milk? Would.
write	Write. I like to write stories. Write.
you	You. You are a nice person. You.
young	Young. The young puppy likes to bark. Young.
your	Your. Is this your pencil? Your.